0	1	8
0	1	110
0	1	134
0	1	153
0	1	194
0	1	219
0	1	235
0	1	275
0	1	282
0	1	371
0	1	390
0	1	391
0	1	398
0	2	15
0	2	183
0	3	203
0	3	254
0	4	199
0	4	201
0	4	236
0	4	280
0	4	305
0	4	323
1	1	39
1	2	9
1	3	395
1	4	340
2	1	352
2	2	6
2	2	42
2	2	189
2	3	379
2	4	92
3	2	53
3	3	168
3	3	196
3	4	187
3	4	238
4	3	135
4	3	171
4	4	74
5	1	23
5	1	117
5	1	163
5	1	168
5	1	204
5	2	328
5	3	85
5	3	315
5	4	188
5	4	266
5	4	349
6	2	49
6	3	146
6	4	10
6	4	206
6	4	280
7	3	106
7	3	254
7	4	136
8	1	254
8	2	218
8	2	244
8	3	9
9	1	40
9	1	288
9	1	321
9	3	329
9	3	366
9	4	27
9	4	213
9	4	358
11	2	357
11	3	92
11	4	293
11	4	333
12	2	125
12	2	267
12	3	20
12	3	150
12	3	349
12	3	380
12	4	384
13	1	42
13	1	148
13	1	166
13	1	176
13	1	292
13	1	331
13	1	356
13	1	368
13	2	327
13	2	375
13	3	107
13	3	396
13	4	16
13	4	324
14	3	236
14	4	257
14	4	337
15	1	170
15	2	62
15	2	357
15	3	110
15	3	331
15	4	117
15	4	299
16	2	205
16	2	273
16	2	310
16	2	353
16	4	73
16	4	99
17	1	106
17	2	151
17	3	15
17	3	26
17	3	49
17	4	112
18	1	255
18	2	318
18	3	179
18	3	258
18	4	85
19	2	30
19	4	1
20	3	95
20	3	203
20	3	377
20	4	61
21	1	15
21	2	325
21	3	55
21	3	165
21	3	280
21	3	346
21	4	159
22	2	197
22	4	235
23	1	80
23	2	355
23	3	69
23	3	199
23	3	287
23	4	234
24	1	357
24	4	155
25	1	3
25	1	50
25	1	62
25	1	113
25	1	158
25	1	248
25	1	266
25	1	374
25	2	12
25	2	255
25	2	278
25	2	399
25	4	62
25	4	121
26	4	256
27	1	340
28	1	345
28	2	43
28	3	93
28	3	374
29	2	32
29	3	186
29	4	189
29	4	306
30	1	40
30	2	105
30	2	157
30	4	134
31	2	27
31	2	306
31	3	16
31	4	54
32	1	103
32	1	198
32	1	222
32	1	248
32	1	360
32	1	379
32	1	387
32	2	330
32	2	373
32	3	204
32	3	276
32	3	361
33	1	2
33	1	15
33	1	110
33	1	149
33	1	183
33	2	56
33	2	202
33	4	57
33	4	135
33	4	194
33	4	328
34	1	340
34	2	350
34	4	251
35	2	9
35	3	323
36	2	94
36	2	172
36	3	358
36	3	392
37	1	54
37	1	136
37	1	223
37	1	261
37	1	301
37	1	320
37	1	355
37	1	372
37	3	1
37	3	48
37	3	272
37	3	355
37	4	154
37	4	329
38	2	254
38	3	23
38	4	8
38	4	22
38	4	146
39	2	357
39	3	211
39	3	289
39	4	106
40	2	97
40	2	308
40	2	344
40	3	113
40	4	243
41	3	30
41	3	243
41	3	320
42	2	205
42	3	206
42	3	287
43	3	179
44	1	210
44	1	231
44	1	314
44	2	362
44	3	143
44	3	218
44	4	201
45	2	138
45	4	303
46	2	16
46	2	123
46	3	39
46	3	167
46	3	215
46	4	128
46	4	341
47	2	54
47	2	80
47	2	295
47	3	5
47	4	302
48	3	34
48	3	188
48	4	31
48	4	186
48	4	327
49	2	92
49	2	380
49	4	137
49	4	315
50	1	46
50	2	40
50	3	105
51	2	311
51	3	279
51	4	296
52	1	102
52	2	23
52	2	157
52	2	348
53	3	29
53	3	145
53	3	326
53	4	151
54	2	256
54	3	389
54	4	109
54	4	214
55	1	86
55	1	147
55	1	372
55	2	2
55	2	132
