1	1	120
2	2	34
2	2	285
2	3	10
3	2	14
3	3	14
4	3	335
5	2	249
6	3	9
7	1	188
7	2	86
7	2	323
8	1	45
8	1	117
8	2	34
8	3	13
9	1	174
9	3	268
10	2	325
11	2	104
12	1	101
13	1	178
13	1	282
13	1	313
13	2	168
14	1	144
14	3	232
15	2	246
15	3	178
16	1	58
16	2	264
16	3	23
17	3	144
18	2	220
18	2	259
19	1	259
19	1	274
20	3	107
20	3	109
21	1	51
21	1	135
21	3	169
22	2	173
22	3	207
23	1	24
23	2	325
24	2	184
24	2	201
24	2	335
25	1	121
25	1	307
25	1	309
25	2	13
25	2	145
25	2	248
25	2	268
25	3	35
26	3	237
27	2	85
28	3	37
29	1	227
29	3	338
30	1	182
31	1	54
31	1	165
31	1	229
31	2	73
31	2	117
31	2	224
31	2	265
31	3	294
32	3	77
32	3	237
35	2	36
36	2	78
36	2	297
37	1	88
37	1	147
37	2	40
37	2	121
38	3	246
39	3	263
39	3	339
40	1	87
41	1	206
44	1	2
44	1	126
44	1	246
44	1	251
44	1	341
44	2	63
44	2	178
44	2	235
44	3	102
45	1	209
45	2	200
46	1	14
46	1	258
46	2	238
47	3	150
47	3	284
48	2	102
49	1	37
49	1	91
49	1	228
49	1	299
49	2	119
49	2	130
49	2	263
52	3	37
53	1	111
53	2	244
53	2	290
53	3	262
54	1	53
54	2	171
55	1	297
55	1	306
56	2	2
57	2	273
57	3	278
58	3	3
58	3	304
59	1	34
59	2	39
59	2	48
59	2	72
59	2	173
60	2	7
62	2	296
62	3	72
62	3	341
63	1	129
64	3	86
65	2	205
66	3	198
67	2	195
68	3	5
68	3	11
69	3	16
69	3	80
70	1	0
70	3	165
71	3	24
72	2	31
72	3	153
73	1	4
73	1	61
73	1	79
73	3	235
74	1	171
74	3	18
74	3	25
75	1	150
75	1	174
75	1	213
75	2	241
75	2	265
75	2	274
75	2	318
76	2	265
76	3	158
76	3	193
77	2	320
77	3	306
78	2	296
79	1	160
79	3	86
80	2	276
81	3	121
82	1	73
82	2	175
82	3	44
84	1	37
84	1	65
84	1	123
84	1	135
84	1	295
84	2	19
84	2	40
84	2	210
84	2	306
84	3	184
85	1	120
85	1	302
85	1	335
85	2	13
85	2	230
86	2	143
86	2	242
89	1	200
89	2	196
90	1	156
91	1	94
91	2	286
91	3	193
92	1	16
92	3	300
93	1	218
94	1	2
94	3	59
95	1	77
95	1	205
95	1	214
95	1	284
95	2	1
95	2	37
95	2	41
96	1	231
98	1	321
99	3	241
100	1	203
100	3	22
101	3	297
102	1	259
102	3	120
102	3	252
103	1	24
103	1	315
103	1	346
103	2	89
103	2	115
103	2	268
105	1	8
105	1	109
105	1	184
105	1	185
105	2	21
105	2	70
105	2	216
106	1	46
106	1	125
106	1	161
106	2	40
106	2	151
106	2	267
106	2	301
106	3	62
107	1	235
107	1	239
107	2	323
108	1	2
109	1	96
109	1	212
109	2	30
109	3	214
110	3	2
110	3	307
111	2	332
112	3	267
114	1	119
114	2	211
115	1	270
116	2	171
117	1	166
117	2	96
118	1	29
118	1	44
118	1	195
118	3	54
118	3	91
119	1	176
119	1	206
120	2	246
120	3	46
120	3	316
121	2	18
121	3	144
122	3	70
123	2	38
123	2	315
123	3	57
123	3	313
123	3	325
